continent,country,metric,year,value
Africa,Benin,pop,1992,4981671.0
Africa,Benin,gdpPercap,1997,1232.975292
Africa,Benin,lifeExp,1997,54.777
Africa,Benin,pop,1997,6066080.0
Africa,Benin,gdpPercap,2002,1372.877931
Africa,Benin,lifeExp,2002,54.406
Africa,Benin,pop,2002,7026113.0
Africa,Benin,gdpPercap,2007,1441.284873
Africa,Benin,lifeExp,2007,56.728
Africa,Benin,pop,2007,8078314.0
Africa,Botswana,gdpPercap,1952,851.2411407
Africa,Botswana,lifeExp,1952,47.622
Africa,Botswana,pop,1952,442308.0
Africa,Botswana,gdpPercap,1957,918.2325349
Africa,Botswana,lifeExp,1957,49.618
Africa,Botswana,pop,1957,474639.0
Africa,Botswana,gdpPercap,1962,983.6539764
Africa,Botswana,lifeExp,1962,51.52
Africa,Botswana,pop,1962,512764.0
Africa,Botswana,gdpPercap,1967,1214.709294
Africa,Botswana,lifeExp,1967,53.298
Africa,Botswana,pop,1967,553541.0
Africa,Botswana,gdpPercap,1972,2263.611114
Africa,Botswana,lifeExp,1972,56.024
Africa,Botswana,pop,1972,619351.0
Africa,Botswana,gdpPercap,1977,3214.857818
Africa,Botswana,lifeExp,1977,59.319
Africa,Botswana,pop,1977,781472.0
Africa,Botswana,gdpPercap,1982,4551.14215
Africa,Botswana,lifeExp,1982,61.484
Africa,Botswana,pop,1982,970347.0
Africa,Botswana,gdpPercap,1987,6205.88385
Africa,Botswana,lifeExp,1987,63.622
Africa,Botswana,pop,1987,1151184.0
Africa,Botswana,gdpPercap,1992,7954.111645
Africa,Botswana,lifeExp,1992,62.745
Africa,Botswana,pop,1992,1342614.0
Africa,Botswana,gdpPercap,1997,8647.142313
Africa,Botswana,lifeExp,1997,52.556
Africa,Botswana,pop,1997,1536536.0
Africa,Botswana,gdpPercap,2002,11003.60508
Africa,Botswana,lifeExp,2002,46.634
Africa,Botswana,pop,2002,1630347.0
Africa,Botswana,gdpPercap,2007,12569.85177
Africa,Botswana,lifeExp,2007,50.728
Africa,Botswana,pop,2007,1639131.0
Africa,Burkina Faso,gdpPercap,1952,543.2552413
Africa,Burkina Faso,lifeExp,1952,31.975
Africa,Burkina Faso,pop,1952,4469979.0
Africa,Burkina Faso,gdpPercap,1957,617.1834648
Africa,Burkina Faso,lifeExp,1957,34.906
Africa,Burkina Faso,pop,1957,4713416.0
Africa,Burkina Faso,gdpPercap,1962,722.5120206
Africa,Burkina Faso,lifeExp,1962,37.814
Africa,Burkina Faso,pop,1962,4919632.0
Africa,Burkina Faso,gdpPercap,1967,794.8265597
Africa,Burkina Faso,lifeExp,1967,40.697
Africa,Burkina Faso,pop,1967,5127935.0
Africa,Burkina Faso,gdpPercap,1972,854.7359763
Africa,Burkina Faso,lifeExp,1972,43.591
Africa,Burkina Faso,pop,1972,5433886.0
Africa,Burkina Faso,gdpPercap,1977,743.3870368
Africa,Burkina Faso,lifeExp,1977,46.137
Africa,Burkina Faso,pop,1977,5889574.0
Africa,Burkina Faso,gdpPercap,1982,807.1985855
Africa,Burkina Faso,lifeExp,1982,48.122
Africa,Burkina Faso,pop,1982,6634596.0
Africa,Burkina Faso,gdpPercap,1987,912.0631417
Africa,Burkina Faso,lifeExp,1987,49.557
Africa,Burkina Faso,pop,1987,7586551.0
Africa,Burkina Faso,gdpPercap,1992,931.7527731
Africa,Burkina Faso,lifeExp,1992,50.26
Africa,Burkina Faso,pop,1992,8878303.0
Africa,Burkina Faso,gdpPercap,1997,946.2949618
Africa,Burkina Faso,lifeExp,1997,50.324
Africa,Burkina Faso,pop,1997,10352843.0
Africa,Burkina Faso,gdpPercap,2002,1037.645221
Africa,Burkina Faso,lifeExp,2002,50.65
Africa,Burkina Faso,pop,2002,12251209.0
Africa,Burkina Faso,gdpPercap,2007,1217.032994
Africa,Burkina Faso,lifeExp,2007,52.295
Africa,Burkina Faso,pop,2007,14326203.0
Africa,Burundi,gdpPercap,1952,339.2964587
Africa,Burundi,lifeExp,1952,39.031
Africa,Burundi,pop,1952,2445618.0
Africa,Burundi,gdpPercap,1957,379.5646281
Africa,Burundi,lifeExp,1957,40.533
Africa,Burundi,pop,1957,2667518.0
Africa,Burundi,gdpPercap,1962,355.2032273
Africa,Burundi,lifeExp,1962,42.045
Africa,Burundi,pop,1962,2961915.0
Africa,Burundi,gdpPercap,1967,412.9775136
Africa,Burundi,lifeExp,1967,43.548
Africa,Burundi,pop,1967,3330989.0
Africa,Burundi,gdpPercap,1972,464.0995039
Africa,Burundi,lifeExp,1972,44.057
Africa,Burundi,pop,1972,3529983.0
Africa,Burundi,gdpPercap,1977,556.1032651
Africa,Burundi,lifeExp,1977,45.91
Africa,Burundi,pop,1977,3834415.0
Africa,Burundi,gdpPercap,1982,559.603231
Africa,Burundi,lifeExp,1982,47.471
Africa,Burundi,pop,1982,4580410.0
Africa,Burundi,gdpPercap,1987,621.8188189
Africa,Burundi,lifeExp,1987,48.211
Africa,Burundi,pop,1987,5126023.0
Africa,Burundi,gdpPercap,1992,631.6998778
Africa,Burundi,lifeExp,1992,44.736
Africa,Burundi,pop,1992,5809236.0
Africa,Burundi,gdpPercap,1997,463.1151478
Africa,Burundi,lifeExp,1997,45.326
Africa,Burundi,pop,1997,6121610.0
Africa,Burundi,gdpPercap,2002,446.4035126
Africa,Burundi,lifeExp,2002,47.36
Africa,Burundi,pop,2002,7021078.0
Africa,Burundi,gdpPercap,2007,430.0706916
Africa,Burundi,lifeExp,2007,49.58
Africa,Burundi,pop,2007,8390505.0
Africa,Cameroon,gdpPercap,1952,1172.667655
Africa,Cameroon,lifeExp,1952,38.523
Africa,Cameroon,pop,1952,5009067.0
Africa,Cameroon,gdpPercap,1957,1313.048099
Africa,Cameroon,lifeExp,1957,40.428
Africa,Cameroon,pop,1957,5359923.0
Africa,Cameroon,gdpPercap,1962,1399.607441
Africa,Cameroon,lifeExp,1962,42.643
Africa,Cameroon,pop,1962,5793633.0
Africa,Cameroon,gdpPercap,1967,1508.453148
Africa,Cameroon,lifeExp,1967,44.799
Africa,Cameroon,pop,1967,6335506.0
Africa,Cameroon,gdpPercap,1972,1684.146528
Africa,Cameroon,lifeExp,1972,47.049
Africa,Cameroon,pop,1972,7021028.0
Africa,Cameroon,gdpPercap,1977,1783.432873
Africa,Cameroon,lifeExp,1977,49.355
Africa,Cameroon,pop,1977,7959865.0
Africa,Cameroon,gdpPercap,1982,2367.983282
Africa,Cameroon,lifeExp,1982,52.961
Africa,Cameroon,pop,1982,9250831.0
Africa,Cameroon,gdpPercap,1987,2602.664206
Africa,Cameroon,lifeExp,1987,54.985
Africa,Cameroon,pop,1987,10780667.0
Africa,Cameroon,gdpPercap,1992,1793.163278
Africa,Cameroon,lifeExp,1992,54.314
Africa,Cameroon,pop,1992,12467171.0
Africa,Cameroon,gdpPercap,1997,1694.337469
Africa,Cameroon,lifeExp,1997,52.199
Africa,Cameroon,pop,1997,14195809.0
Africa,Cameroon,gdpPercap,2002,1934.011449
Africa,Cameroon,lifeExp,2002,49.856
Africa,Cameroon,pop,2002,15929988.0
Africa,Cameroon,gdpPercap,2007,2042.09524
Africa,Cameroon,lifeExp,2007,50.43
Africa,Cameroon,pop,2007,17696293.0
Africa,Central African Republic,gdpPercap,1952,1071.310713
Africa,Central African Republic,lifeExp,1952,35.463
Africa,Central African Republic,pop,1952,1291695.0
Africa,Central African Republic,gdpPercap,1957,1190.844328
Africa,Central African Republic,lifeExp,1957,37.464
Africa,Central African Republic,pop,1957,1392284.0
Africa,Central African Republic,gdpPercap,1962,1193.068753
Africa,Central African Republic,lifeExp,1962,39.475
Africa,Central African Republic,pop,1962,1523478.0
Africa,Central African Republic,gdpPercap,1967,1136.056615
Africa,Central African Republic,lifeExp,1967,41.478
Africa,Central African Republic,pop,1967,1733638.0
Africa,Central African Republic,gdpPercap,1972,1070.013275
Africa,Central African Republic,lifeExp,1972,43.457
Africa,Central African Republic,pop,1972,1927260.0
Africa,Central African Republic,gdpPercap,1977,1109.374338
Africa,Central African Republic,lifeExp,1977,46.775
Africa,Central African Republic,pop,1977,2167533.0
Africa,Central African Republic,gdpPercap,1982,956.7529907
Africa,Central African Republic,lifeExp,1982,48.295
Africa,Central African Republic,pop,1982,2476971.0
Africa,Central African Republic,gdpPercap,1987,844.8763504
Africa,Central African Republic,lifeExp,1987,50.485
Africa,Central African Republic,pop,1987,2840009.0
Africa,Central African Republic,gdpPercap,1992,747.9055252
Africa,Central African Republic,lifeExp,1992,49.396
Africa,Central African Republic,pop,1992,3265124.0
Africa,Central African Republic,gdpPercap,1997,740.5063317
Africa,Central African Republic,lifeExp,1997,46.066
Africa,Central African Republic,pop,1997,3696513.0
Africa,Central African Republic,gdpPercap,2002,738.6906068
Africa,Central African Republic,lifeExp,2002,43.308
Africa,Central African Republic,pop,2002,4048013.0
Africa,Central African Republic,gdpPercap,2007,706.016537
Africa,Central African Republic,lifeExp,2007,44.741
Africa,Central African Republic,pop,2007,4369038.0
Africa,Chad,gdpPercap,1952,1178.665927
Africa,Chad,lifeExp,1952,38.092
Africa,Chad,pop,1952,2682462.0
Africa,Chad,gdpPercap,1957,1308.495577
Africa,Chad,lifeExp,1957,39.881
Africa,Chad,pop,1957,2894855.0
Africa,Chad,gdpPercap,1962,1389.817618
Africa,Chad,lifeExp,1962,41.716
Africa,Chad,pop,1962,3150417.0
Africa,Chad,gdpPercap,1967,1196.810565
Africa,Chad,lifeExp,1967,43.601
Africa,Chad,pop,1967,3495967.0
Africa,Chad,gdpPercap,1972,1104.103987
Africa,Chad,lifeExp,1972,45.569
Africa,Chad,pop,1972,3899068.0
Africa,Chad,gdpPercap,1977,1133.98495
Africa,Chad,lifeExp,1977,47.383
Africa,Chad,pop,1977,4388260.0
Africa,Chad,gdpPercap,1982,797.9081006
Africa,Chad,lifeExp,1982,49.517
Africa,Chad,pop,1982,4875118.0
Africa,Chad,gdpPercap,1987,952.386129
Africa,Chad,lifeExp,1987,51.051
Africa,Chad,pop,1987,5498955.0
Africa,Chad,gdpPercap,1992,1058.0643
Africa,Chad,lifeExp,1992,51.724
Africa,Chad,pop,1992,6429417.0
Africa,Chad,gdpPercap,1997,1004.961353
Africa,Chad,lifeExp,1997,51.573
Africa,Chad,pop,1997,7562011.0
Africa,Chad,gdpPercap,2002,1156.18186
Africa,Chad,lifeExp,2002,50.525
Africa,Chad,pop,2002,8835739.0
Africa,Chad,gdpPercap,2007,1704.063724
Africa,Chad,lifeExp,2007,50.651
Africa,Chad,pop,2007,10238807.0
Africa,Comoros,gdpPercap,1952,1102.990936
Africa,Comoros,lifeExp,1952,40.715
Africa,Comoros,pop,1952,153936.0
Africa,Comoros,gdpPercap,1957,1211.148548
Africa,Comoros,lifeExp,1957,42.46
Africa,Comoros,pop,1957,170928.0
Africa,Comoros,gdpPercap,1962,1406.648278
Africa,Comoros,lifeExp,1962,44.467
Africa,Comoros,pop,1962,191689.0
Africa,Comoros,gdpPercap,1967,1876.029643
Africa,Comoros,lifeExp,1967,46.472
Africa,Comoros,pop,1967,217378.0
Africa,Comoros,gdpPercap,1972,1937.577675
Africa,Comoros,lifeExp,1972,48.944
Africa,Comoros,pop,1972,250027.0
Africa,Comoros,gdpPercap,1977,1172.603047
Africa,Comoros,lifeExp,1977,50.939
Africa,Comoros,pop,1977,304739.0
Africa,Comoros,gdpPercap,1982,1267.100083
Africa,Comoros,lifeExp,1982,52.933
Africa,Comoros,pop,1982,348643.0
Africa,Comoros,gdpPercap,1987,1315.980812
Africa,Comoros,lifeExp,1987,54.926
Africa,Comoros,pop,1987,395114.0
Africa,Comoros,gdpPercap,1992,1246.90737
Africa,Comoros,lifeExp,1992,57.939
Africa,Comoros,pop,1992,454429.0
Africa,Comoros,gdpPercap,1997,1173.618235
Africa,Comoros,lifeExp,1997,60.66
Africa,Comoros,pop,1997,527982.0
Africa,Comoros,gdpPercap,2002,1075.811558
Africa,Comoros,lifeExp,2002,62.974
Africa,Comoros,pop,2002,614382.0
Africa,Comoros,gdpPercap,2007,986.1478792
Africa,Comoros,lifeExp,2007,65.152
Africa,Comoros,pop,2007,710960.0
Africa,Congo Dem. Rep.,gdpPercap,1952,780.5423257
Africa,Congo Dem. Rep.,lifeExp,1952,39.143
Africa,Congo Dem. Rep.,pop,1952,14100005.0
Africa,Congo Dem. Rep.,gdpPercap,1957,905.8602303
Africa,Congo Dem. Rep.,lifeExp,1957,40.652
Africa,Congo Dem. Rep.,pop,1957,15577932.0
Africa,Congo Dem. Rep.,gdpPercap,1962,896.3146335
Africa,Congo Dem. Rep.,lifeExp,1962,42.122
Africa,Congo Dem. Rep.,pop,1962,17486434.0
Africa,Congo Dem. Rep.,gdpPercap,1967,861.5932424
Africa,Congo Dem. Rep.,lifeExp,1967,44.056
Africa,Congo Dem. Rep.,pop,1967,19941073.0
Africa,Congo Dem. Rep.,gdpPercap,1972,904.8960685
Africa,Congo Dem. Rep.,lifeExp,1972,45.989
Africa,Congo Dem. Rep.,pop,1972,23007669.0
Africa,Congo Dem. Rep.,gdpPercap,1977,795.757282
Africa,Congo Dem. Rep.,lifeExp,1977,47.804
Africa,Congo Dem. Rep.,pop,1977,26480870.0
Africa,Congo Dem. Rep.,gdpPercap,1982,673.7478181
Africa,Congo Dem. Rep.,lifeExp,1982,47.784
Africa,Congo Dem. Rep.,pop,1982,30646495.0
Africa,Congo Dem. Rep.,gdpPercap,1987,672.774812
Africa,Congo Dem. Rep.,lifeExp,1987,47.412
Africa,Congo Dem. Rep.,pop,1987,35481645.0
Africa,Congo Dem. Rep.,gdpPercap,1992,457.7191807
Africa,Congo Dem. Rep.,lifeExp,1992,45.548
Africa,Congo Dem. Rep.,pop,1992,41672143.0
Africa,Congo Dem. Rep.,gdpPercap,1997,312.188423
Africa,Congo Dem. Rep.,lifeExp,1997,42.587
Africa,Congo Dem. Rep.,pop,1997,47798986.0
Africa,Congo Dem. Rep.,gdpPercap,2002,241.1658765
Africa,Congo Dem. Rep.,lifeExp,2002,44.966
Africa,Congo Dem. Rep.,pop,2002,55379852.0
Africa,Congo Dem. Rep.,gdpPercap,2007,277.5518587
Africa,Congo Dem. Rep.,lifeExp,2007,46.462
Africa,Congo Dem. Rep.,pop,2007,64606759.0
Africa,Congo Rep.,gdpPercap,1952,2125.621418
Africa,Congo Rep.,lifeExp,1952,42.111
Africa,Congo Rep.,pop,1952,854885.0
Africa,Congo Rep.,gdpPercap,1957,2315.056572
Africa,Congo Rep.,lifeExp,1957,45.053
Africa,Congo Rep.,pop,1957,940458.0
Africa,Congo Rep.,gdpPercap,1962,2464.783157
Africa,Congo Rep.,lifeExp,1962,48.435
Africa,Congo Rep.,pop,1962,1047924.0
Africa,Congo Rep.,gdpPercap,1967,2677.939642
Africa,Congo Rep.,lifeExp,1967,52.04
Africa,Congo Rep.,pop,1967,1179760.0
Africa,Congo Rep.,gdpPercap,1972,3213.152683
Africa,Congo Rep.,lifeExp,1972,54.907
Africa,Congo Rep.,pop,1972,1340458.0
Africa,Congo Rep.,gdpPercap,1977,3259.178978
Africa,Congo Rep.,lifeExp,1977,55.625
Africa,Congo Rep.,pop,1977,1536769.0
Africa,Congo Rep.,gdpPercap,1982,4879.507522
Africa,Congo Rep.,lifeExp,1982,56.695
Africa,Congo Rep.,pop,1982,1774735.0
Africa,Congo Rep.,gdpPercap,1987,4201.194937
Africa,Congo Rep.,lifeExp,1987,57.47
Africa,Congo Rep.,pop,1987,2064095.0
Africa,Congo Rep.,gdpPercap,1992,4016.239529
Africa,Congo Rep.,lifeExp,1992,56.433
Africa,Congo Rep.,pop,1992,2409073.0
Africa,Congo Rep.,gdpPercap,1997,3484.164376
Africa,Congo Rep.,lifeExp,1997,52.962
Africa,Congo Rep.,pop,1997,2800947.0
Africa,Congo Rep.,gdpPercap,2002,3484.06197
Africa,Congo Rep.,lifeExp,2002,52.97
Africa,Congo Rep.,pop,2002,3328795.0
Africa,Congo Rep.,gdpPercap,2007,3632.557798
Africa,Congo Rep.,lifeExp,2007,55.322
Africa,Congo Rep.,pop,2007,3800610.0
Africa,Cote d'Ivoire,gdpPercap,1952,1388.594732
Africa,Cote d'Ivoire,lifeExp,1952,40.477
Africa,Cote d'Ivoire,pop,1952,2977019.0
Africa,Cote d'Ivoire,gdpPercap,1957,1500.895925
Africa,Cote d'Ivoire,lifeExp,1957,42.469
Africa,Cote d'Ivoire,pop,1957,3300000.0
Africa,Cote d'Ivoire,gdpPercap,1962,1728.869428
Africa,Cote d'Ivoire,lifeExp,1962,44.93
Africa,Cote d'Ivoire,pop,1962,3832408.0
Africa,Cote d'Ivoire,gdpPercap,1967,2052.050473
Africa,Cote d'Ivoire,lifeExp,1967,47.35
Africa,Cote d'Ivoire,pop,1967,4744870.0
Africa,Cote d'Ivoire,gdpPercap,1972,2378.201111
Africa,Cote d'Ivoire,lifeExp,1972,49.801
Africa,Cote d'Ivoire,pop,1972,6071696.0
Africa,Cote d'Ivoire,gdpPercap,1977,2517.736547
Africa,Cote d'Ivoire,lifeExp,1977,52.374
Africa,Cote d'Ivoire,pop,1977,7459574.0
Africa,Cote d'Ivoire,gdpPercap,1982,2602.710169
Africa,Cote d'Ivoire,lifeExp,1982,53.983
Africa,Cote d'Ivoire,pop,1982,9025951.0
Africa,Cote d'Ivoire,gdpPercap,1987,2156.956069
Africa,Cote d'Ivoire,lifeExp,1987,54.655
Africa,Cote d'Ivoire,pop,1987,10761098.0
Africa,Cote d'Ivoire,gdpPercap,1992,1648.073791
Africa,Cote d'Ivoire,lifeExp,1992,52.044
Africa,Cote d'Ivoire,pop,1992,12772596.0
Africa,Cote d'Ivoire,gdpPercap,1997,1786.265407
Africa,Cote d'Ivoire,lifeExp,1997,47.991
Africa,Cote d'Ivoire,pop,1997,14625967.0
Africa,Cote d'Ivoire,gdpPercap,2002,1648.800823
Africa,Cote d'Ivoire,lifeExp,2002,46.832
Africa,Cote d'Ivoire,pop,2002,16252726.0
Africa,Cote d'Ivoire,gdpPercap,2007,1544.750112
Africa,Cote d'Ivoire,lifeExp,2007,48.328
Africa,Cote d'Ivoire,pop,2007,18013409.0
Africa,Djibouti,gdpPercap,1952,2669.529475
Africa,Djibouti,lifeExp,1952,34.812
Africa,Djibouti,pop,1952,63149.0
Africa,Djibouti,gdpPercap,1957,2864.969076
Africa,Djibouti,lifeExp,1957,37.328
Africa,Djibouti,pop,1957,71851.0
Africa,Djibouti,gdpPercap,1962,3020.989263
Africa,Djibouti,lifeExp,1962,39.693
Africa,Djibouti,pop,1962,89898.0
Africa,Djibouti,gdpPercap,1967,3020.050513
Africa,Djibouti,lifeExp,1967,42.074
Africa,Djibouti,pop,1967,127617.0
Africa,Djibouti,gdpPercap,1972,3694.212352
Africa,Djibouti,lifeExp,1972,44.366
Africa,Djibouti,pop,1972,178848.0
Africa,Djibouti,gdpPercap,1977,3081.761022
Africa,Djibouti,lifeExp,1977,46.519
Africa,Djibouti,pop,1977,228694.0
Africa,Djibouti,gdpPercap,1982,2879.468067
Africa,Djibouti,lifeExp,1982,48.812
Africa,Djibouti,pop,1982,305991.0
Africa,Djibouti,gdpPercap,1987,2880.102568
Africa,Djibouti,lifeExp,1987,50.04
Africa,Djibouti,pop,1987,311025.0
Africa,Djibouti,gdpPercap,1992,2377.156192
Africa,Djibouti,lifeExp,1992,51.604
Africa,Djibouti,pop,1992,384156.0
Africa,Djibouti,gdpPercap,1997,1895.016984
Africa,Djibouti,lifeExp,1997,53.157
Africa,Djibouti,pop,1997,417908.0
Africa,Djibouti,gdpPercap,2002,1908.260867
Africa,Djibouti,lifeExp,2002,53.373
Africa,Djibouti,pop,2002,447416.0
Africa,Djibouti,gdpPercap,2007,2082.481567
Africa,Djibouti,lifeExp,2007,54.791
Africa,Djibouti,pop,2007,496374.0
Africa,Egypt,gdpPercap,1952,1418.822445
Africa,Egypt,lifeExp,1952,41.893
Africa,Egypt,pop,1952,22223309.0
Africa,Egypt,gdpPercap,1957,1458.915272
Africa,Egypt,lifeExp,1957,44.444
Africa,Egypt,pop,1957,25009741.0
Africa,Egypt,gdpPercap,1962,1693.335853
Africa,Egypt,lifeExp,1962,46.992
Africa,Egypt,pop,1962,28173309.0
Africa,Egypt,gdpPercap,1967,1814.880728
Africa,Egypt,lifeExp,1967,49.293
Africa,Egypt,pop,1967,31681188.0
Africa,Egypt,gdpPercap,1972,2024.008147
Africa,Egypt,lifeExp,1972,51.137
Africa,Egypt,pop,1972,34807417.0
Africa,Egypt,gdpPercap,1977,2785.493582
Africa,Egypt,lifeExp,1977,53.319
Africa,Egypt,pop,1977,38783863.0
Africa,Egypt,gdpPercap,1982,3503.729636
Africa,Egypt,lifeExp,1982,56.006
Africa,Egypt,pop,1982,45681811.0
Africa,Egypt,gdpPercap,1987,3885.46071
Africa,Egypt,lifeExp,1987,59.797
Africa,Egypt,pop,1987,52799062.0
Africa,Egypt,gdpPercap,1992,3794.755195
Africa,Egypt,lifeExp,1992,63.674
Africa,Egypt,pop,1992,59402198.0
Africa,Egypt,gdpPercap,1997,4173.181797
Africa,Egypt,lifeExp,1997,67.217
Africa,Egypt,pop,1997,66134291.0
Africa,Egypt,gdpPercap,2002,4754.604414
Africa,Egypt,lifeExp,2002,69.806
Africa,Egypt,pop,2002,73312559.0
Africa,Egypt,gdpPercap,2007,5581.180998
Africa,Egypt,lifeExp,2007,71.338
Africa,Egypt,pop,2007,80264543.0
Africa,Equatorial Guinea,gdpPercap,1952,375.6431231
Africa,Equatorial Guinea,lifeExp,1952,34.482
Africa,Equatorial Guinea,pop,1952,216964.0
Africa,Equatorial Guinea,gdpPercap,1957,426.0964081
Africa,Equatorial Guinea,lifeExp,1957,35.983
Africa,Equatorial Guinea,pop,1957,232922.0
Africa,Equatorial Guinea,gdpPercap,1962,582.8419714
Africa,Equatorial Guinea,lifeExp,1962,37.485
Africa,Equatorial Guinea,pop,1962,249220.0
Africa,Equatorial Guinea,gdpPercap,1967,915.5960025
Africa,Equatorial Guinea,lifeExp,1967,38.987
Africa,Equatorial Guinea,pop,1967,259864.0
Africa,Equatorial Guinea,gdpPercap,1972,672.4122571
Africa,Equatorial Guinea,lifeExp,1972,40.516
Africa,Equatorial Guinea,pop,1972,277603.0
Africa,Equatorial Guinea,gdpPercap,1977,958.5668124
Africa,Equatorial Guinea,lifeExp,1977,42.024
Africa,Equatorial Guinea,pop,1977,192675.0
Africa,Equatorial Guinea,gdpPercap,1982,927.8253427
Africa,Equatorial Guinea,lifeExp,1982,43.662
Africa,Equatorial Guinea,pop,1982,285483.0
Africa,Equatorial Guinea,gdpPercap,1987,966.8968149
Africa,Equatorial Guinea,lifeExp,1987,45.664
Africa,Equatorial Guinea,pop,1987,341244.0
Africa,Equatorial Guinea,gdpPercap,1992,1132.055034
Africa,Equatorial Guinea,lifeExp,1992,47.545
Africa,Equatorial Guinea,pop,1992,387838.0
Africa,Equatorial Guinea,gdpPercap,1997,2814.480755
Africa,Equatorial Guinea,lifeExp,1997,48.245
Africa,Equatorial Guinea,pop,1997,439971.0
Africa,Equatorial Guinea,gdpPercap,2002,7703.4959
Africa,Equatorial Guinea,lifeExp,2002,49.348
Africa,Equatorial Guinea,pop,2002,495627.0
Africa,Equatorial Guinea,gdpPercap,2007,12154.08975
Africa,Equatorial Guinea,lifeExp,2007,51.579
Africa,Equatorial Guinea,pop,2007,551201.0
Africa,Eritrea,gdpPercap,1952,328.9405571
Africa,Eritrea,lifeExp,1952,35.928
Africa,Eritrea,pop,1952,1438760.0
